Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength,TotalHeight
1,11,19,10,11,24,25,20,17,18,10,22,38
2,9,20,13,11,20,23,12,18,17,15,26,38
1,8,20,12,10,24,24,11,13,13,11,22,47
2,6,22,9,10,10,18,21,22,14,10,23,29
1,11,21,13,12,20,16,20,16,19,15,27,29
,9,20,13,11,21,24,11,22,14,15,25,44
2,12,21,15,12,24,26,28,18,17,24,28,47
2,11,21,13,13,21,22,15,21,25,25,27,54
1,8,22,9,10,18,21,22,19,26,15,27,44
2,7,20,13,10,20,25,24,16,23,16,21,44
1,8,18,11,9,20,12,24,17,15,16,23,44
1,6,21,6,19,19,23,23,20,14,17,20,37
1,5,21,5,9,18,21,21,19,12,13,23,41
2,4,20,11,11,22,22,22,16,12,12,22,39
2,5,20,12,10,20,21,23,18,16,14,19,30
2,6,20,11,10,21,21,20,20,13,13,22,32
1,6,21,11,11,22,22,21,19,13,12,21,32
2,7,21,11,11,20,22,23,18,12,11,22,30
2,6,20,13,11,21,22,24,15,14,12,24,44
1,4,20,11,10,20,20,21,18,10,12,19,37
2,12,21,14,14,26,29,31,17,31,17,33,55
2,5,19,11,11,22,22,22,15,15,12,24,44
2,13,23,14,12,24,20,31,21,17,18,34,57
2,14,21,14,13,23,24,26,21,12,18,33,57
1,11,21,13,11,21,24,25,19,10,14,50,52
2,12,21,12,11,24,20,28,20,10,16,13,53
2,9,20,12,11,21,24,25,17,16,16,27,48
2,5,21,10,10,21,22,24,12,11,12,23,32
2,12,24,14,11,23,25,28,22,18,15,34,58
1,7,20,12,11,22,24,26,16,13,14,26,46
1,6,20,12,11,22,24,24,16,15,14,27,45
2,13,23,15,12,24,27,30,27,21,20,37,59
2,11,20,12,11,23,24,26,17,15,14,29,49
2,11,20,12,11,22,25,27,19,15,17,33,51
1,4,20,11,11,22,22,22,16,12,12,22,39
2,11,21,13,14,23,22,11,12,21,17,22,39
2,13,23,12,11,22,21,26,20,16,17,13,53
2,15,5,13,23,22,11,16,16,14,18,50,52
2,13,23,15,12,24,27,30,12,15,4,29,49
2,11,20,12,11,22,25,29,19,18,12,24,44
2,9,20,10,12,21,20,13,20,14,14,24,45
2,8,16,11,13,20,21,14,19,12,14,24,44
2,9,20,12,13,19,13,14,21,12,15,26,46
2,9,20,11,13,22,12,14,22,13,14,26,48
2,8,19,10,12,20,12,12,20,13,13,24,45
1,4,19,10,12,21,11,11,17,11,11,21,38
1,4,20,9,11,19,10,10,18,13,10,18,38
1,4,20,9,13,19,10,11,19,11,11,21,37
2,3,19,9,10,18,10,11,16,10,11,20,36
2,3,20,10,10,18,9,11,16,11,10,18,38
2,3,19,10,11,19,9,11,17,11,11,20,38
2,3,19,10,12,20,10,11,17,11,11,21,39
1,3,20,8,11,20,9,10,15,10,10,17,36
2,4,20,9,10,19,10,10,17,12,12,22,38
2,4,20,9,12,19,9,11,17,12,11,21,37
2,13,21,11,14,23,13,15,24,15,19,29,54
2,14,21,14,15,25,12,16,27,14,16,30,53
2,16,22,13,15,24,12,14,27,16,19,34,54
2,15,20,13,15,24,13,13,24,15,16,24,54
1,17,21,13,16,27,14,17,26,15,19,34,55
2,10,22,11,14,21,10,11,22,13,14,27,44
2,15,21,13,14,24,13,14,25,14,16,32,53
2,17,21,13,14,24,13,14,25,14,17,33,53
2,16,21,13,15,26,13,16,25,16,16,30,52
2,18,20,13,18,25,15,17,29,21,21,38,58
2,19,19,13,21,29,16,18,29,19,19,35,58
1,6,20,11,12,20,9,13,21,13,11,23,44
1,6,18,11,13,19,9,12,20,12,12,23,44
1,7,20,11,14,22,10,13,21,13,12,25,44
1,5,19,10,10,21,20,9,13,13,11,21,39
1,7,21,14,12,22,23,13,18,16,15,24,48
1,6,20,11,10,22,22,12,17,14,15,23,43
2,6,19,10,11,21,11,10,15,11,15,21,40
1,6,20,11,12,21,11,12,16,13,14,22,43
2,8,20,13,11,23,13,13,17,15,15,23,44
2,6,20,11,10,20,11,10,16,13,14,21,41
2,6,21,11,10,22,12,11,16,14,15,24,44
2,7,21,14,12,23,13,12,17,15,16,27,48
2,6,20,13,12,21,13,12,17,14,13,21,48
2,7,20,12,13,22,13,12,18,15,15,24,48
2,6,20,11,12,20,11,11,15,12,15,21,40
1,7,21,10,13,21,12,12,16,13,16,24,45
2,6,21,11,11,19,12,11,13,13,12,20,38
2,7,20,11,12,23,13,13,16,14,14,22,43
2,7,21,12,12,20,12,12,17,13,15,21,45
1,7,20,10,13,23,12,13,17,13,16,23,45
1,6,20,11,11,20,13,11,15,13,13,20,39
2,5,20,12,12,20,12,11,15,13,13,19,39
2,5,19,11,12,23,13,12,15,13,14,22,40
1,5,20,10,11,21,11,11,15,12,12,20,39
1,6,21,12,11,20,12,11,15,12,14,22,41
1,7,21,14,13,23,13,12,18,14,15,25,47
1,11,20,11,12,23,13,12,19,17,17,26,50
1,5,20,12,10,21,11,11,14,13,11,19,38
1,4,20,12,13,23,13,12,14,13,12,19,38
1,5,20,11,10,10,11,10,13,10,13,22,41
2,6,20,11,11,20,11,11,14,14,13,23,40
2,7,21,11,12,22,13,11,16,14,14,25,44
2,8,23,13,10,23,11,13,17,14,16,27,49
2,10,22,12,13,24,12,15,17,14,16,26,51
2,10,22,11,12,22,11,14,16,15,14,23,48
2,10,22,12,13,23,11,14,16,18,14,24,47
2,11,22,14,13,24,12,14,19,18,14,25,52
2,11,20,11,13,24,12,12,17,15,14,27,49
2,13,22,12,12,24,12,14,19,15,16,30,55
2,11,21,13,13,24,10,14,18,16,11,27,52
2,12,22,13,14,26,12,17,20,18,14,29,53
2,11,22,12,12,21,10,12,18,17,13,26,49
1,13,20,15,13,23,13,16,17,16,14,28,49
1,12,21,13,13,23,12,14,17,14,15,27,52
1,10,21,14,12,23,12,12,18,15,15,25,49
1,13,21,14,14,23,14,13,20,17,17,31,54
1,12,21,15,12,23,12,13,20,19,14,30,52
1,11,20,12,12,23,10,11,19,15,15,26,48
1,9,22,14,12,24,13,12,18,15,16,27,48
1,10,21,14,11,24,10,17,18,17,13,26,54
1,7,20,10,9,22,9,13,13,12,13,23,44
2,8,21,11,11,21,10,13,15,13,11,24,45
2,10,21,10,13,24,10,17,18,11,14,29,50
1,13,21,15,11,22,10,16,19,13,15,30,55
1,12,21,13,12,24,11,15,17,14,15,30,57
2,10,21,13,11,21,11,14,15,12,11,28,52
2,7,21,11,9,20,9,10,13,10,9,24,44
1,5,20,10,9,20,8,10,13,11,9,20,39
1,5,20,10,9,20,8,10,13,11,10,20,39
2,4,19,11,9,20,8,13,11,10,10,19,37
2,8,21,13,13,23,13,13,10,12,13,25,45
2,8,20,14,12,22,11,10,10,12,14,23,43
2,10,21,13,13,23,12,11,20,13,15,24,44
2,8,20,12,11,22,11,10,18,12,14,23,43
2,8,21,13,11,22,11,11,16,12,14,23,43
2,7,20,11,11,20,10,10,14,10,11,21,40
2,7,20,13,11,23,11,11,16,12,14,23,45
2,9,20,14,13,24,12,12,17,14,13,23,45
2,11,21,11,13,21,10,10,17,12,15,25,49
2,10,20,13,12,21,12,12,16,13,13,24,46
2,11,22,11,14,23,12,12,18,17,12,26,49
2,13,21,12,13,24,12,11,18,16,16,27,50
1,12,20,11,12,23,11,12,18,15,14,25,50
1,12,19,13,12,23,12,12,18,15,16,26,51
1,12,21,14,13,22,12,12,17,16,14,27,50
1,12,19,10,14,23,12,12,18,17,13,25,51
1,11,20,11,12,23,11,11,17,15,13,29,47
1,14,20,11,13,24,10,11,18,16,12,20,49
1,8,19,11,11,22,9,11,15,13,16,17,44
1,5,20,10,11,22,8,8,13,18,13,19,36
2,7,21,10,8,20,11,10,14,10,10,23,40
2,7,21,14,12,21,13,12,15,11,11,27,43
2,7,21,14,12,23,13,12,17,15,14,26,48
1,11,20,12,13,23,13,11,19,17,16,25,50
1,7,21,11,12,23,11,12,18,14,17,21,47
2,6,20,11,12,20,12,11,15,12,15,20,40
1,7,19,10,13,21,12,12,16,13,14,25,38
1,8,22,10,11,20,20,12,17,14,12,21,47
1,5,19,10,10,21,12,9,13,13,11,21,39
1,8,20,12,11,23,13,13,17,15,13,21,41
2,6,20,13,11,21,22,24,15,14,12,24,44
2,4,20,11,11,22,22,22,16,12,12,22,39
1,12,20,13,12,23,26,27,19,16,20,25,49
1,15,20,17,15,23,17,24,24,20,19,23,57
1,13,20,12,15,22,24,25,17,17,20,32,50
1,12,21,14,12,26,11,14,20,17,14,29,50
1,11,20,13,11,22,12,14,18,19,13,25,49
1,13,19,16,14,22,13,28,18,21,12,34,52
2,7,20,12,11,23,23,23,20,17,15,24,43
2,5,20,11,10,21,21,23,19,13,13,21,39
2,7,20,11,9,19,21,21,19,13,13,21,39
1,5,21,12,9,10,21,21,19,13,13,23,41
2,7,21,11,11,20,22,21,19,12,12,21,31
2,6,20,11,10,21,21,20,20,15,13,22,32
2,7,20,11,10,20,21,20,18,17,15,15,31
2,5,21,12,12,21,21,26,21,13,20,20,40
2,5,20,11,11,21,21,23,20,12,20,21,34
2,6,21,13,11,20,22,24,17,12,21,22,39
1,17,21,11,14,26,25,18,21,19,19,34,59
2,5,21,15,11,22,23,23,17,15,13,22,43
1,13,21,8,12,22,14,29,27,22,16,25,23
2,2,18,15,8,20,19,20,14,13,11,18,32
1,10,20,12,12,22,14,29,27,22,16,25,23
2,10,21,12,12,22,24,26,21,15,14,25,45
2,13,22,6,14,25,18,30,21,20,16,33,59
1,10,21,11,12,22,2,26,21,15,14,25,45
1,4,20,17,11,22,22,22,17,12,12,22,40
1,13,20,15,14,25,18,30,21,20,16,33,59
2,4,20,15,10,20,20,21,18,10,12,19,37
